GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaTranslate-antoniott15,main,Main,44,0,0,0,9,0,4,0,4,0
JavaTranslate-antoniott15,translate,Translator,3,105,0,10,1,20,1,8,1,3
